Category,Condition,No_of_studies
"Muscle, Bone, and Cartilage Diseases","Lower Extremity Deformities, Congenital",77
"Muscle, Bone, and Cartilage Diseases",Mandibular Diseases,185
"Muscle, Bone, and Cartilage Diseases",Mandibular Neoplasms,4
"Muscle, Bone, and Cartilage Diseases",Marfan Syndrome,53
"Muscle, Bone, and Cartilage Diseases",Mastoiditis,4
"Muscle, Bone, and Cartilage Diseases",Maxillary Diseases,4
"Muscle, Bone, and Cartilage Diseases",Maxillary Neoplasms,2
"Muscle, Bone, and Cartilage Diseases",Maxillofacial Abnormalities,121
"Muscle, Bone, and Cartilage Diseases",Medial Tibial Stress Syndrome,3
"Muscle, Bone, and Cartilage Diseases",Megalencephaly,3
"Muscle, Bone, and Cartilage Diseases",MELAS Syndrome,12
"Muscle, Bone, and Cartilage Diseases",Melorheostosis,1
"Muscle, Bone, and Cartilage Diseases",Metatarsalgia,20
"Muscle, Bone, and Cartilage Diseases",Metatarsus Varus,1
"Muscle, Bone, and Cartilage Diseases",Microcephaly,21
"Muscle, Bone, and Cartilage Diseases",Micrognathism,12
"Muscle, Bone, and Cartilage Diseases",Mitochondrial Encephalomyopathies,17
"Muscle, Bone, and Cartilage Diseases",Mitochondrial Myopathies,41
"Muscle, Bone, and Cartilage Diseases",Morton Neuroma,14
"Muscle, Bone, and Cartilage Diseases",Mucolipidoses,11
"Muscle, Bone, and Cartilage Diseases",Muscle Cramp,297
"Muscle, Bone, and Cartilage Diseases",Muscle Neoplasms,2
"Muscle, Bone, and Cartilage Diseases",Muscle Rigidity,118
"Muscle, Bone, and Cartilage Diseases",Muscle Spasticity,471
"Muscle, Bone, and Cartilage Diseases",Muscle Weakness,537
"Muscle, Bone, and Cartilage Diseases",Muscular Diseases,3074
"Muscle, Bone, and Cartilage Diseases","Muscular Disorders, Atrophic",432
"Muscle, Bone, and Cartilage Diseases",Muscular Dystrophies,411
"Muscle, Bone, and Cartilage Diseases","Muscular Dystrophies, Limb-Girdle",29
"Muscle, Bone, and Cartilage Diseases","Muscular Dystrophy, Duchenne",250
"Muscle, Bone, and Cartilage Diseases","Muscular Dystrophy, Emery-Dreifuss",1
"Muscle, Bone, and Cartilage Diseases","Muscular Dystrophy, Facioscapulohumeral",29
"Muscle, Bone, and Cartilage Diseases","Muscular Dystrophy, Oculopharyngeal",10
"Muscle, Bone, and Cartilage Diseases",Musculoskeletal Abnormalities,528
"Muscle, Bone, and Cartilage Diseases",Musculoskeletal Pain,335
"Muscle, Bone, and Cartilage Diseases",Myalgia,199
"Muscle, Bone, and Cartilage Diseases",Myofascial Pain Syndromes,800
"Muscle, Bone, and Cartilage Diseases",Myoglobinuria,1
"Muscle, Bone, and Cartilage Diseases","Myopathies, Nemaline",5
"Muscle, Bone, and Cartilage Diseases","Myopathies, Structural, Congenital",13
"Muscle, Bone, and Cartilage Diseases","Myopathy, Central Core",2
"Muscle, Bone, and Cartilage Diseases",Myositis,164
"Muscle, Bone, and Cartilage Diseases",Myositis Ossificans,10
"Muscle, Bone, and Cartilage Diseases","Myositis, Inclusion Body",33
"Muscle, Bone, and Cartilage Diseases",Myotonia Congenita,6
"Muscle, Bone, and Cartilage Diseases",Myotonic Disorders,44
"Muscle, Bone, and Cartilage Diseases",Myotonic Dystrophy,44
"Muscle, Bone, and Cartilage Diseases",Nail-Patella Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Noonan Syndrome,13
"Muscle, Bone, and Cartilage Diseases",Nose Neoplasms,59
"Muscle, Bone, and Cartilage Diseases","Ophthalmoplegia, Chronic Progressive External",8
"Muscle, Bone, and Cartilage Diseases",Orbital Neoplasms,7
"Muscle, Bone, and Cartilage Diseases",Orofaciodigital Syndromes,3
"Muscle, Bone, and Cartilage Diseases",Ossification of Posterior Longitudinal Ligament,4
"Muscle, Bone, and Cartilage Diseases",Osteitis,25
"Muscle, Bone, and Cartilage Diseases",Osteitis Deformans,15
"Muscle, Bone, and Cartilage Diseases",Osteoarthritis,3333
"Muscle, Bone, and Cartilage Diseases","Osteoarthritis, Hip",331
"Muscle, Bone, and Cartilage Diseases","Osteoarthritis, Knee",1727
"Muscle, Bone, and Cartilage Diseases","Osteoarthritis, Spine",9
"Muscle, Bone, and Cartilage Diseases","Osteoarthropathy, Primary Hypertrophic",2
"Muscle, Bone, and Cartilage Diseases","Osteoarthropathy, Secondary Hypertrophic",1
"Muscle, Bone, and Cartilage Diseases",Osteochondritis,24
"Muscle, Bone, and Cartilage Diseases",Osteochondritis Dissecans,23
"Muscle, Bone, and Cartilage Diseases",Osteochondrodysplasias,163
"Muscle, Bone, and Cartilage Diseases",Osteochondroma,16
"Muscle, Bone, and Cartilage Diseases",Osteochondromatosis,11
"Muscle, Bone, and Cartilage Diseases",Osteochondrosis,25
"Muscle, Bone, and Cartilage Diseases",Osteogenesis Imperfecta,44
"Muscle, Bone, and Cartilage Diseases",Osteolysis,25
"Muscle, Bone, and Cartilage Diseases","Osteolysis, Essential",3
"Muscle, Bone, and Cartilage Diseases",Osteomalacia,36
"Muscle, Bone, and Cartilage Diseases",Osteomyelitis,73
"Muscle, Bone, and Cartilage Diseases",Osteonecrosis,142
"Muscle, Bone, and Cartilage Diseases",Osteopetrosis,19
"Muscle, Bone, and Cartilage Diseases",Osteophyte,25
"Muscle, Bone, and Cartilage Diseases",Osteoporosis,1279
"Muscle, Bone, and Cartilage Diseases","Osteoporosis, Postmenopausal",236
"Muscle, Bone, and Cartilage Diseases",Osteosclerosis,20
"Muscle, Bone, and Cartilage Diseases",Palatal Neoplasms,1
"Muscle, Bone, and Cartilage Diseases",Pallister-Hall Syndrome,1
"Muscle, Bone, and Cartilage Diseases","Paralysis, Hyperkalemic Periodic",3
"Muscle, Bone, and Cartilage Diseases",Patellar Dislocation,16
"Muscle, Bone, and Cartilage Diseases",Patellofemoral Pain Syndrome,94
"Muscle, Bone, and Cartilage Diseases",Pectus Carinatum,7
"Muscle, Bone, and Cartilage Diseases",Periarthritis,7
"Muscle, Bone, and Cartilage Diseases",Pierre Robin Syndrome,8
"Muscle, Bone, and Cartilage Diseases",Plagiocephaly,13
"Muscle, Bone, and Cartilage Diseases","Plagiocephaly, Nonsynostotic",8
"Muscle, Bone, and Cartilage Diseases",Platybasia,2
"Muscle, Bone, and Cartilage Diseases","Polychondritis, Relapsing",5
"Muscle, Bone, and Cartilage Diseases",Polydactyly,4
"Muscle, Bone, and Cartilage Diseases",Polymyalgia Rheumatica,83
"Muscle, Bone, and Cartilage Diseases",Polymyositis,87
"Muscle, Bone, and Cartilage Diseases",Posterior Tibial Tendon Dysfunction,5
"Muscle, Bone, and Cartilage Diseases",Postpoliomyelitis Syndrome,21
"Muscle, Bone, and Cartilage Diseases",Prognathism,17
"Muscle, Bone, and Cartilage Diseases",Proteus Syndrome,5
"Muscle, Bone, and Cartilage Diseases",Pseudohypoparathyroidism,12
"Muscle, Bone, and Cartilage Diseases",Pseudopseudohypoparathyroidism,12
"Muscle, Bone, and Cartilage Diseases",Pubic Symphysis Diastasis,1
"Muscle, Bone, and Cartilage Diseases",Pyomyositis,2
"Muscle, Bone, and Cartilage Diseases",Retrognathia,11
"Muscle, Bone, and Cartilage Diseases",Rhabdomyolysis,27
"Muscle, Bone, and Cartilage Diseases",Rheumatic Diseases,6600
"Muscle, Bone, and Cartilage Diseases",Rheumatic Fever,44
"Muscle, Bone, and Cartilage Diseases",Rheumatoid Nodule,1
"Muscle, Bone, and Cartilage Diseases",Rheumatoid Vasculitis,1
"Muscle, Bone, and Cartilage Diseases",Rickets,157
"Muscle, Bone, and Cartilage Diseases","Rickets, Hypophosphatemic",38
"Muscle, Bone, and Cartilage Diseases",Rotator Cuff Tear Arthropathy,21
"Muscle, Bone, and Cartilage Diseases",Rubinstein-Taybi Syndrome,1
"Muscle, Bone, and Cartilage Diseases",Sacroiliitis,21
"Muscle, Bone, and Cartilage Diseases",Salter-Harris Fractures,2
"Muscle, Bone, and Cartilage Diseases",Sarcoglycanopathies,6
"Muscle, Bone, and Cartilage Diseases",Scheuermann Disease,3
"Muscle, Bone, and Cartilage Diseases",Scoliosis,249
"Muscle, Bone, and Cartilage Diseases",Shoulder Dislocation,47
"Muscle, Bone, and Cartilage Diseases",Shoulder Impingement Syndrome,112
"Muscle, Bone, and Cartilage Diseases",Shoulder Pain,293
"Muscle, Bone, and Cartilage Diseases",Silver-Russell Syndrome,3
"Muscle, Bone, and Cartilage Diseases",Sjogren's Syndrome,171
"Muscle, Bone, and Cartilage Diseases",Skull Base Neoplasms,7
"Muscle, Bone, and Cartilage Diseases",Slipped Capital Femoral Epiphyses,16
"Muscle, Bone, and Cartilage Diseases",Spinal Curvatures,274
"Muscle, Bone, and Cartilage Diseases",Spinal Diseases,1600
"Muscle, Bone, and Cartilage Diseases",Spinal Neoplasms,29
"Muscle, Bone, and Cartilage Diseases",Spinal Osteochondrosis,3
"Muscle, Bone, and Cartilage Diseases",Spinal Osteophytosis,8
"Muscle, Bone, and Cartilage Diseases",Spinal Stenosis,231
"Muscle, Bone, and Cartilage Diseases",Spondylarthritis,654
"Muscle, Bone, and Cartilage Diseases",Spondylarthropathies,543
"Muscle, Bone, and Cartilage Diseases",Spondylitis,673
"Muscle, Bone, and Cartilage Diseases","Spondylitis, Ankylosing",307
"Muscle, Bone, and Cartilage Diseases",Spondylolisthesis,146
"Muscle, Bone, and Cartilage Diseases",Spondylolysis,141
"Muscle, Bone, and Cartilage Diseases",Spondylosis,189
"Muscle, Bone, and Cartilage Diseases","Still's Disease, Adult-Onset",10
"Muscle, Bone, and Cartilage Diseases",Syndactyly,6
"Muscle, Bone, and Cartilage Diseases",Synovitis,60
"Muscle, Bone, and Cartilage Diseases","Synovitis, Pigmented Villonodular",8
"Muscle, Bone, and Cartilage Diseases",Talipes,71
"Muscle, Bone, and Cartilage Diseases",Temporomandibular Joint Disorders,171
"Muscle, Bone, and Cartilage Diseases",Temporomandibular Joint Dysfunction Syndrome,171
"Muscle, Bone, and Cartilage Diseases",Tendinopathy,355
"Muscle, Bone, and Cartilage Diseases",Tendon Entrapment,38
"Muscle, Bone, and Cartilage Diseases",Tennis Elbow,101
"Muscle, Bone, and Cartilage Diseases",Tenosynovitis,18
"Muscle, Bone, and Cartilage Diseases",Tracheobronchomalacia,10
"Muscle, Bone, and Cartilage Diseases",Tracheomalacia,5
"Muscle, Bone, and Cartilage Diseases",Trigger Finger Disorder,36
"Muscle, Bone, and Cartilage Diseases","Tuberculosis, Osteoarticular",4
"Muscle, Bone, and Cartilage Diseases","Tuberculosis, Spinal",3
Nervous System Diseases,Abducens Nerve Diseases,4
Nervous System Diseases,Accessory Nerve Diseases,3
Nervous System Diseases,Accessory Nerve Injuries,2
Nervous System Diseases,Acromegaly,161
Nervous System Diseases,ACTH-Secreting Pituitary Adenoma,52
Nervous System Diseases,Acute Febrile Encephalopathy,1
Nervous System Diseases,Adrenoleukodystrophy,46
Nervous System Diseases,Agenesis of Corpus Callosum,13
Nervous System Diseases,Ageusia,1
Nervous System Diseases,Agnosia,69
Nervous System Diseases,Agraphia,6
Nervous System Diseases,Aicardi Syndrome,2
Nervous System Diseases,AIDS Dementia Complex,38
Nervous System Diseases,"Akathisia, Drug-Induced",2
Nervous System Diseases,Akinetic Mutism,1
Nervous System Diseases,Alcohol Amnestic Disorder,1
Nervous System Diseases,Alcohol Withdrawal Delirium,8
Nervous System Diseases,Alcohol Withdrawal Seizures,3
Nervous System Diseases,"Alcohol-Induced Disorders, Nervous System",11
Nervous System Diseases,Alcoholic Korsakoff Syndrome,1
Nervous System Diseases,Alcoholic Neuropathy,2
Nervous System Diseases,Alexander Disease,1
Nervous System Diseases,Alstrom Syndrome,6
Nervous System Diseases,Alzheimer Disease,2086
Nervous System Diseases,Amaurosis Fugax,3
Nervous System Diseases,Amblyopia,92
Nervous System Diseases,Amnesia,98
Nervous System Diseases,"Amnesia, Transient Global",4
Nervous System Diseases,Amyloid Neuropathies,38
Nervous System Diseases,"Amyloid Neuropathies, Familial",35
Nervous System Diseases,Amyotrophic Lateral Sclerosis,477
Nervous System Diseases,Anencephaly,7
Nervous System Diseases,Angelman Syndrome,21
Nervous System Diseases,Anhedonia,40
Nervous System Diseases,Anomia,17
Nervous System Diseases,Anti-N-Methyl-D-Aspartate Receptor Encephalitis,4
Nervous System Diseases,Aphasia,288
Nervous System Diseases,"Aphasia, Broca",28
Nervous System Diseases,"Aphasia, Conduction",1
Nervous System Diseases,"Aphasia, Primary Progressive",155
Nervous System Diseases,"Aphasia, Wernicke",1
Nervous System Diseases,Aphonia,1
Nervous System Diseases,"Apraxia, Ideomotor",4
Nervous System Diseases,Apraxias,42
Nervous System Diseases,Arachnoiditis,3
Nervous System Diseases,Argininosuccinic Aciduria,5
Nervous System Diseases,Arnold-Chiari Malformation,17
Nervous System Diseases,Arsenic Poisoning,13
Nervous System Diseases,Articulation Disorders,25
Nervous System Diseases,Ataxia,213
Nervous System Diseases,Ataxia Telangiectasia,26
Nervous System Diseases,"Auditory Diseases, Central",21
Nervous System Diseases,Auditory Perceptual Disorders,22
Nervous System Diseases,Autoimmune Diseases of the Nervous System,2146
Nervous System Diseases,Autonomic Dysreflexia,14
Nervous System Diseases,Autonomic Nervous System Diseases,489
Nervous System Diseases,Bardet-Biedl Syndrome,9
Nervous System Diseases,Basal Ganglia Diseases,2679
Nervous System Diseases,Bell Palsy,41
Nervous System Diseases,Benign Paroxysmal Positional Vertigo,31
Nervous System Diseases,Bilateral Vestibulopathy,3
Nervous System Diseases,Blindness,201
Nervous System Diseases,Botulism,17
Nervous System Diseases,Brachial Plexus Neuritis,8
Nervous System Diseases,Brachial Plexus Neuropathies,19
Nervous System Diseases,Brain Abscess,12
Nervous System Diseases,Brain Concussion,290
Nervous System Diseases,Brain Contusion,7
Nervous System Diseases,"Brain Damage, Chronic",644
Nervous System Diseases,Brain Death,58
Nervous System Diseases,Brain Diseases,16632
Nervous System Diseases,"Brain Diseases, Metabolic",833
Nervous System Diseases,"Brain Diseases, Metabolic, Inborn",696
Nervous System Diseases,Brain Edema,61
Nervous System Diseases,"Brain Hemorrhage, Traumatic",9
Nervous System Diseases,Brain Infarction,598
Nervous System Diseases,Brain Injuries,2117
Nervous System Diseases,"Brain Injuries, Diffuse",6
Nervous System Diseases,"Brain Injuries, Traumatic",1147
Nervous System Diseases,"Brain Injury, Chronic",23
Nervous System Diseases,Brain Ischemia,928
Nervous System Diseases,Brain Neoplasms,1681
Nervous System Diseases,Brain Stem Infarctions,14
Nervous System Diseases,Brain Stem Neoplasms,15
Nervous System Diseases,Brown-Sequard Syndrome,2
Nervous System Diseases,"Bulbar Palsy, Progressive",1
Nervous System Diseases,"Bulbo-Spinal Atrophy, X-Linked",10
Nervous System Diseases,CADASIL,11
Nervous System Diseases,Canavan Disease,6
Nervous System Diseases,Carbamoyl-Phosphate Synthase I Deficiency Disease,8
Nervous System Diseases,Carotid Artery Diseases,344
Nervous System Diseases,Carotid Artery Injuries,2
Nervous System Diseases,Carotid Artery Thrombosis,1
Nervous System Diseases,Carotid Stenosis,199
Nervous System Diseases,Carotid-Cavernous Sinus Fistula,1
Nervous System Diseases,Carpal Tunnel Syndrome,206
Nervous System Diseases,Catalepsy,1
Nervous System Diseases,Cataplexy,31
Nervous System Diseases,Catatonia,9
Nervous System Diseases,Cauda Equina Syndrome,4
Nervous System Diseases,Causalgia,14
Nervous System Diseases,Central Cord Syndrome,6
Nervous System Diseases,Central Nervous System Bacterial Infections,137
Nervous System Diseases,Central Nervous System Diseases,19282
Nervous System Diseases,Central Nervous System Fungal Infections,42
Nervous System Diseases,Central Nervous System Infections,625
Nervous System Diseases,Central Nervous System Neoplasms,1692
Nervous System Diseases,Central Nervous System Vascular Malformations,36
Nervous System Diseases,Central Nervous System Viral Diseases,157
Nervous System Diseases,Cerebellar Ataxia,213
Nervous System Diseases,Cerebellar Diseases,167
Nervous System Diseases,Cerebellar Neoplasms,3
Nervous System Diseases,Cerebral Amyloid Angiopathy,11
Nervous System Diseases,"Cerebral Amyloid Angiopathy, Familial",11
Nervous System Diseases,Cerebral Arterial Diseases,78
Nervous System Diseases,Cerebral Hemorrhage,269
Nervous System Diseases,"Cerebral Hemorrhage, Traumatic",1
Nervous System Diseases,Cerebral Infarction,607
Nervous System Diseases,Cerebral Palsy,633
Nervous System Diseases,Cerebral Small Vessel Diseases,249
Nervous System Diseases,Cerebrospinal Fluid Leak,30
Nervous System Diseases,Cerebrospinal Fluid Rhinorrhea,1
Nervous System Diseases,Cerebrovascular Disorders,4967
Nervous System Diseases,Cerebrovascular Trauma,10
Nervous System Diseases,Charcot-Marie-Tooth Disease,304
Nervous System Diseases,Charles Bonnet Syndrome,1
Nervous System Diseases,Chorea,167
Nervous System Diseases,Choroid Plexus Neoplasms,82
Nervous System Diseases,Chronic Traumatic Encephalopathy,13
Nervous System Diseases,Chronobiology Disorders,110
Nervous System Diseases,Citrullinemia,7
Nervous System Diseases,Cluster Headache,67
Nervous System Diseases,Cockayne Syndrome,7
Nervous System Diseases,Cogan Syndrome,6
Nervous System Diseases,Color Vision Defects,13
Nervous System Diseases,Coma,155
Nervous System Diseases,"Coma, Post-Head Injury",3
Nervous System Diseases,Communication Disorders,507
Nervous System Diseases,Complex Regional Pain Syndromes,114
Nervous System Diseases,Confusion,603
Nervous System Diseases,Consciousness Disorders,350
Nervous System Diseases,Corneal Injuries,16
Nervous System Diseases,Corneal Perforation,3
Nervous System Diseases,Cranial Nerve Diseases,723
Nervous System Diseases,Craniocerebral Trauma,1682
Nervous System Diseases,Creutzfeldt-Jakob Syndrome,5
Nervous System Diseases,Cri-du-Chat Syndrome,1
Nervous System Diseases,Cubital Tunnel Syndrome,14
Nervous System Diseases,De Lange Syndrome,2
Nervous System Diseases,Deafness,589
Nervous System Diseases,Delirium,645
Nervous System Diseases,Dementia,2943
Nervous System Diseases,"Dementia, Multi-Infarct",11
Nervous System Diseases,"Dementia, Vascular",102
Nervous System Diseases,"Demyelinating Autoimmune Diseases, CNS",1866
Nervous System Diseases,Demyelinating Diseases,2039
Nervous System Diseases,Dermatomyositis,85
Nervous System Diseases,Diabetic Neuropathies,859
Nervous System Diseases,Diffuse Axonal Injury,5
Nervous System Diseases,Diffuse Cerebral Sclerosis of Schilder,3
Nervous System Diseases,Diplopia,15
Nervous System Diseases,Disorders of Excessive Somnolence,98
Nervous System Diseases,Distal Myopathies,14
Nervous System Diseases,Down Syndrome,195
Nervous System Diseases,Drug Resistant Epilepsy,128
Nervous System Diseases,Duane Retraction Syndrome,1
Nervous System Diseases,"Dwarfism, Pituitary",219
Nervous System Diseases,Dysarthria,27
Nervous System Diseases,"Dysautonomia, Familial",11
Nervous System Diseases,Dyscalculia,2
Nervous System Diseases,Dysgeusia,17
Nervous System Diseases,"Dyskinesia, Drug-Induced",51
Nervous System Diseases,Dyskinesias,2003
Nervous System Diseases,Dyslexia,51
Nervous System Diseases,"Dyslexia, Acquired",2
Nervous System Diseases,Dysphonia,85
Nervous System Diseases,Dyssomnias,2992
Nervous System Diseases,Dystonia,262
Nervous System Diseases,Dystonia Musculorum Deformans,1
Nervous System Diseases,Dystonic Disorders,262
Nervous System Diseases,Emergence Delirium,105
Nervous System Diseases,Encephalitis,222
Nervous System Diseases,"Encephalitis, Herpes Simplex",2
Nervous System Diseases,"Encephalitis, Japanese",71
Nervous System Diseases,"Encephalitis, Tick-Borne",36
Nervous System Diseases,"Encephalitis, Viral",143
Nervous System Diseases,Encephalomalacia,22
Nervous System Diseases,Encephalomyelitis,126
Nervous System Diseases,"Encephalomyelitis, Acute Disseminated",4
Nervous System Diseases,"Encephalomyelitis, Eastern Equine",3
Nervous System Diseases,"Encephalomyelitis, Equine",12
